First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Kyle,Dietz,,"5' 8""",135 lbs.,--,Orthodox,5,2,0,0,1.82,45%,2.08,62%,0,0%,0%,0
Seth,Dikun,,"5' 10""",135 lbs.,"69.0""",Orthodox,9,8,0,0,1.45,26%,2.18,55%,0,0%,45%,0.9
TJ,Dillashaw,,"5' 6""",135 lbs.,"67.0""",Orthodox,18,5,0,0,5.09,41%,3.47,62%,1.56,30%,77%,0.8
Ralph,Dillon,Rage,"6' 2""",205 lbs.,--,Orthodox,0,2,1,0,0.34,14%,0.69,60%,0,0%,0%,0
Drew,Dimanlig,,--,185 lbs.,--,,3,4,0,0,3.7,73%,3.17,20%,0,0%,0%,0
Rodolfo Marques,Diniz,,"5' 6""",135 lbs.,--,,23,9,1,0,1.08,32%,2.36,33%,0,0%,50%,1.8
Jhonata,Diniz,,"6' 4""",254 lbs.,"79.0""",Orthodox,6,0,0,0,7.69,42%,7.38,36%,0,0%,100%,0
Helio,Dipp,,"6' 5""",185 lbs.,--,Orthodox,6,3,0,0,0.6,25%,1.8,62%,0,0%,50%,0
Rico,DiSciullo,,"5' 8""",135 lbs.,--,Orthodox,9,2,0,0,1.71,33%,4.41,56%,0,0%,0%,0
Matt,Dixon,Magic,"5' 10""",170 lbs.,"75.0""",Switch,9,1,0,0,1.97,43%,4.56,37%,3.06,30%,0%,0
Melissa,Dixon,No Mess,"5' 7""",135 lbs.,"68.0""",Orthodox,6,0,0,0,3.47,54%,3.2,55%,0,0%,75%,0
John,Dixson,Big John,"6' 0""",275 lbs.,--,Orthodox,15,22,0,0,0,0%,0,0%,0,0%,0%,0
Anthony,Do,,"5' 4""",125 lbs.,--,,4,2,0,0,0,0%,0,0%,0,0%,0%,0
Russell,Doane,,"5' 7""",135 lbs.,"70.0""",Orthodox,15,8,0,0,1.75,40%,1.68,53%,2.11,45%,52%,0.8
Drew,Dober,,"5' 8""",155 lbs.,"70.0""",Southpaw,27,12,0,0,4.58,40%,4.46,51%,0.68,17%,56%,0.1
