First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Tom,Aaron,,--,155 lbs.,--,,5,3,0,0,0,0%,0,0%,0,0%,0%,0
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,0,3.29,38%,4.41,57%,0,0%,77%,0
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,0,3,20%,5.67,46%,0,0%,66%,0
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,0,1.35,30%,3.55,38%,1.07,33%,66%,0
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,0,3.87,52%,3.13,59%,3,75%,0%,0
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,0,2.41,44%,3.02,55%,1.01,23%,45%,0.1
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,0,1.71,36%,3.11,63%,0,0%,33%,0
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,0,3.8,33%,4.49,56%,0.33,50%,0%,0
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,0,2.8,55%,3.15,48%,3.47,57%,50%,1.3
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,0,3.79,31%,3.98,68%,2.13,42%,100%,0.7
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,0,2.05,40%,2.9,55%,0.64,20%,80%,0
Cyborg,Abreu,,--,--,--,,0,0,0,0,0,0%,0,0%,0,0%,0%,0
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,0,3.52,36%,2.85,62%,0.33,20%,81%,0
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,0,3.9,52%,6.28,44%,0,0%,0%,0
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,0,0,0%,0,0%,0,0%,0%,0
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,0,7.09,55%,4.06,34%,0.91,66%,57%,0
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,0,3.17,41%,5.93,44%,0,0%,0%,0
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,0,3.65,40%,3.04,64%,0,0%,100%,0.5
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,3,0,0,3.93,48%,3.11,56%,0.05,14%,77%,0.1
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,0,0,0%,0,0%,0,0%,0%,0
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,0,0.69,11%,4.56,42%,0,0%,0%,0
Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0,0,4.67,55%,3.82,52%,0.59,66%,47%,0.9
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,0,0,0%,0,0%,0,0%,0%,0
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,0,0,0%,0,0%,0,0%,0%,0
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,0,0,0%,0,0%,0,0%,0%,0
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,0,4.93,50%,7.19,53%,0.94,25%,50%,0.2
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,0,3.96,40%,4.81,52%,0.16,16%,78%,0
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,9,2,0,0,1.69,49%,1.03,63%,2.72,37%,0%,1.8
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,0,2.54,37%,4.04,48%,0,0%,60%,0
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,1,0,0,0.93,31%,3.13,44%,0,0%,33%,1
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,0,2.87,33%,6.33,59%,0,0%,71%,0
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,0,5,40%,11.25,25%,0,0%,0%,0
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,0,0.59,45%,2.58,55%,0,0%,8%,0.5
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,0,2.97,34%,2.84,55%,2.58,45%,65%,0.2
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,0,3.1,41%,3.62,57%,2.29,67%,92%,1
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,0,1.8,25%,3.97,57%,1,40%,87%,0
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,0,3.27,39%,3.14,60%,0.65,14%,57%,0
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,3,0,0,4.6,28%,3.6,61%,1,16%,0%,0
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,0,1.36,19%,3.61,53%,0,0%,0%,0
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,0,3.84,65%,6.66,23%,2.06,50%,42%,0
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,0,0,0%,0,0%,0,0%,0%,0
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,16,9,2,0,2.88,33%,5.03,58%,1.82,40%,72%,0
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,1,0,0,2.8,39%,3.07,63%,1.71,33%,40%,0.7
Brett,Albee,,--,225 lbs.,--,,3,2,0,0,0,0%,0,0%,0,0%,0%,0
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,0,3.05,49%,2.82,35%,0,0%,50%,6.1
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,0,3.98,51%,6.08,52%,1.54,37%,100%,0
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,0,4.83,47%,5.56,38%,2.27,50%,77%,0.4
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,0,0.32,13%,3.34,25%,0,0%,0%,0
Juan,Alcain,,--,--,--,,1,2,0,0,0,0%,0,0%,0,0%,0%,0
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,0,2.72,45%,2.79,49%,1.44,62%,60%,0.8
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,0,1.93,38%,2.63,50%,2,68%,81%,0.9
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,0,0,0%,0,0%,0,0%,0%,0
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,0,2.91,54%,6.26,26%,2.57,40%,33%,0
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,14,7,0,0,4.86,39%,5.71,59%,0.17,50%,75%,0.3
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,0,3.59,38%,5.08,59%,0.93,100%,0%,0
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,0,3.13,44%,3.13,58%,0,0%,57%,0
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,31,8,0,0,3.57,46%,3.74,60%,0.49,54%,91%,0.1
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,13,6,0,0,4.05,46%,4.53,60%,0.71,25%,66%,0
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,2,0,0,3.84,43%,3.55,48%,0.87,20%,100%,0.9
Talita,Alencar,,"5' 1""",115 lbs.,"58.0""",Orthodox,4,0,1,0,2.33,38%,5.8,42%,4,16%,0%,0
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,0,2.9,40%,4.38,56%,2.26,41%,80%,0.3
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,0,2.1,39%,2.91,54%,1.85,38%,70%,1.2
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,0,3.06,54%,3.2,52%,1.19,57%,33%,0
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,0,0.88,19%,2.2,66%,4.71,26%,0%,0
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,3,0,0,5.05,53%,1.76,72%,0,0%,66%,0
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,0,1.61,45%,2.89,42%,0.35,20%,66%,0.7
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,0,1.65,38%,4.77,53%,0.37,7%,22%,0.7
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,0,0,0%,0,0%,0,0%,0%,0
Levi,Alford,,--,--,--,,1,7,0,0,0,0%,0,0%,0,0%,0%,0
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,7,0,0,6.11,52%,4.41,47%,0.89,46%,56%,0.1
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,0,0,0%,0,0%,0,0%,0%,0
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,0,0,0%,0,0%,0,0%,0%,0
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,0,1.41,45%,2.2,56%,1.76,38%,100%,0
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,0,2.5,51%,0.46,59%,3.06,44%,0%,0
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,15,1,0,0,8.24,65%,7.15,36%,2.33,33%,0%,2.3
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,0,6.32,50%,10.11,38%,0,0%,0%,0
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,0,3.56,42%,5.74,52%,1.4,71%,50%,0.8
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,0,0.8,38%,3.1,43%,0,0%,50%,0
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,2,0,0,3.34,40%,2.86,61%,1.12,50%,76%,0.3
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,22,5,0,0,3.96,53%,3.89,46%,1.22,42%,55%,1.6
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,0,7.6,51%,5.87,53%,2,66%,100%,0
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,0,1.28,49%,1.9,59%,0.62,50%,26%,0
Assu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,18,2,0,0,3.18,65%,0.49,77%,3.67,40%,0%,3.7
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,0,2.02,49%,1.2,61%,3.74,38%,31%,1.2
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,0,1.67,36%,2.6,41%,0,0%,40%,5
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,0,4.84,43%,4.93,61%,0.17,14%,75%,0
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,0,1.07,39%,3.33,43%,0.5,33%,37%,0
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,0,3.13,37%,6.07,42%,0,0%,0%,0
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,20,2,0,0,2.78,64%,0.52,43%,5.14,55%,75%,2.4
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,14,2,0,0,5.29,47%,5.29,45%,0,0%,40%,0
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,4,0,0,0,4.73,61%,1.87,48%,0,0%,70%,0
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,0,5.74,34%,1.91,67%,0,0%,0%,0
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,0,2.36,44%,6.06,38%,1.61,26%,20%,0.4
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,0,2.43,42%,1.97,56%,3.5,29%,60%,1
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,0,0,0%,0,0%,0,0%,0%,0
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,3,0,0,5,57%,3.99,53%,2.12,25%,63%,0
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,0,1.56,20%,2.08,75%,0,0%,0%,0
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,0,5.83,31%,9.25,44%,0,0%,0%,0
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,0,0.89,37%,3.25,47%,0,0%,0%,0
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,0,4.32,41%,4.39,55%,2.92,36%,92%,0.5
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,0,2.73,40%,4.53,56%,1,33%,50%,0
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,20,3,0,0,3.65,46%,3.37,50%,0,0%,11%,1.3
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,0,3.73,41%,3.42,62%,0.71,60%,63%,0.3
Anthony,Alves,,--,--,--,,1,4,0,0,0,0%,0,0%,0,0%,0%,0
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,0,0.5,46%,2.02,30%,0,0%,53%,0
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,7,0,0,3.25,48%,4.21,50%,1.35,50%,80%,0.9
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,0,1.85,48%,3.3,58%,0.29,25%,44%,1.5
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,0,3.28,44%,3.63,52%,0.06,14%,82%,0.1
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,0,2.27,24%,5.91,63%,0,0%,20%,0
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,0,3.29,47%,0.82,78%,5.84,56%,100%,0
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,0,5.53,35%,24.47,33%,0,0%,100%,0
Rayanne,Amanda,,"5' 2""",115 lbs.,"62.0""",Orthodox,11,6,0,0,3.67,31%,6.87,57%,1,25%,0%,0
Chris,Amarante,,--,185 lbs.,--,,2,0,0,0,0,0%,0,0%,0,0%,0%,0
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,0,0.83,29%,3.76,40%,3.13,57%,100%,0.8
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,0,3.16,69%,6.32,33%,0,0%,50%,0
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,0,0.99,30%,3.85,46%,0,0%,0%,0
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,8,0,0,0,1.73,52%,1.47,53%,0,0%,78%,1
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,0,1.33,44%,2.98,46%,3.96,43%,35%,1.1
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,7,1,0,0,3.42,52%,1.81,62%,1.57,23%,0%,3.7
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,0,6.75,39%,2.01,83%,0,0%,0%,0
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,0,1.47,34%,2.67,54%,0,0%,25%,1
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,15,8,0,0,3.56,47%,4.39,50%,1.54,24%,79%,0.1
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,0,0,0%,0,0%,0,0%,0%,0
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,0,4.43,46%,2.22,59%,4.89,50%,83%,0
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,0,3.97,37%,3.08,61%,0.34,14%,60%,0
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,0,1.76,46%,3.35,37%,0.52,25%,53%,0.5
Tatsuya,Ando,,--,135 lbs.,--,,13,3,1,0,0,0%,0,0%,0,0%,0%,0
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,0,0.2,36%,2.6,53%,0,0%,25%,0.8
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,25,12,0,0,6.67,50%,5.36,54%,2.45,54%,72%,0.4
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,0,3.26,42%,2.77,63%,1.93,50%,66%,0.3
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,0,0,0%,0,0%,0,0%,0%,0
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,0,3.27,31%,3,65%,0,0%,0%,0
Fellipe,Andrew,,--,--,--,,0,0,0,0,0,0%,0,0%,0,0%,0%,0
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,0,2.21,50%,2.72,46%,2.83,50%,57%,0.4
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,0,2.87,50%,3.5,58%,0.67,20%,40%,0
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,0,3.56,38%,3.77,53%,0,0%,33%,0
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,0,4.62,78%,1.86,50%,4.47,50%,60%,1.1
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,0,4.59,48%,5.54,51%,2.28,66%,100%,0
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,12,6,0,0,3.51,43%,3.31,55%,0,0%,47%,1
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,0,0,0%,3.13,25%,0,0%,0%,0
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,18,1,1,0,3.56,52%,2.2,58%,1.07,31%,86%,0
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,0,2.08,55%,4.21,40%,5.08,36%,0%,1.4
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,0,5.73,52%,5,69%,0,0%,100%,0
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,0,1.09,50%,7.64,50%,0,0%,0%,0
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,0,2.47,42%,2.47,69%,0.65,100%,0%,0
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,0,3.23,58%,3.75,45%,1.83,16%,75%,0
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,0,0.97,58%,1.25,58%,2.54,41%,60%,4
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,10,0,0,5.31,50%,5.56,50%,1.64,46%,58%,0
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,0,1.35,40%,11.5,32%,0,0%,33%,0
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,0,0,0%,0.54,81%,0,0%,0%,8.1
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,0,8.79,27%,10.29,39%,0,0%,0%,0
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,0,1.8,35%,2.83,50%,2.5,62%,83%,0
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,0,2.37,45%,2.66,64%,0.93,47%,41%,0.7
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,0,1.52,42%,2.86,49%,0.86,15%,22%,0.6
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,12,5,0,0,4.34,47%,5.19,55%,1.83,46%,77%,0.7
Julio,Arce,,"5' 7""",135 lbs.,"70.0""",Southpaw,18,6,0,0,4.38,36%,3.1,68%,0.49,30%,95%,0.4
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,0,1.53,46%,2.73,51%,0,0%,50%,1
Tristan,Arenal,,--,155 lbs.,--,,7,4,0,0,0,0%,0,0%,0,0%,0%,0
Gabriel,Arges,,--,170 lbs.,--,,0,0,0,0,0,0%,0,0%,0,0%,0%,0
Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,2,0,0,2.35,47%,1.9,52%,2.54,50%,60%,1.9
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,0,0,0%,0,0%,0,0%,0%,0
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,0,1.84,44%,8.97,43%,0,0%,50%,0
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,22,0,0,3.78,45%,3.2,57%,0.39,36%,76%,0.2
Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,9,3,0,0,5.29,44%,3.52,57%,0,0%,75%,0
Joey,Armstrong,,--,--,--,,5,2,0,0,0,0%,0,0%,0,0%,0%,0
Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,0,4.52,41%,6.38,62%,0.44,18%,57%,0.2
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,0,1.66,48%,1.15,57%,2.41,48%,58%,1.2
Eli,Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0,0,8.92,68%,6.49,38%,12.16,100%,0%,0
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,0,1.56,34%,1.63,56%,3.05,75%,37%,1
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,0,2.32,45%,4.01,56%,1.07,100%,33%,0.4
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,0,1.62,47%,2.01,58%,2.12,36%,100%,5.3
Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,0,2.82,66%,2.02,50%,1.14,41%,41%,0.2
Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,0,0.06,10%,2.45,32%,0,0%,0%,0
Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,0,3.2,36%,1.92,65%,0,0%,40%,0
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,0,5.37,45%,5.2,56%,7.32,75%,0%,2.4
Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,0,7.27,61%,6.8,28%,0,0%,100%,0
Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,0,0,0%,0,0%,0,0%,0%,0
Yanal,Ashmouz,Red Fox,"5' 9""",155 lbs.,"68.0""",Orthodox,7,1,0,0,3.08,42%,5.35,59%,0.92,50%,50%,0
,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0,0,0,0%,0,0%,0,0%,0%,0
Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,0,0,0%,0,0%,0,0%,0%,0
Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1,0,3.05,54%,2.8,57%,2.6,24%,66%,0.4
Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,0,3.35,39%,5.82,35%,4.41,62%,100%,0.9
Khusein,Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0,0,2,26%,4.13,56%,0,0%,66%,0
Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,0,3.03,46%,3.52,52%,0.44,18%,65%,0.7
Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,0,3.64,49%,5.66,36%,4.33,55%,0%,0.9
Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77.0""",Orthodox,12,1,0,0,8.87,72%,3.38,63%,0,0%,0%,0
Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,14,3,0,1,7.72,66%,2.77,66%,3.46,100%,100%,1.7
Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,0,1.27,43%,3.2,36%,2,50%,66%,1
Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,0,3.31,62%,2.06,44%,2.43,24%,66%,0.7
Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0,0,3.22,42%,2.5,66%,1.65,39%,78%,0.2
Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,0,0.87,41%,3.14,49%,1,33%,0%,0
Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,0,2.28,47%,2.13,59%,0.74,37%,75%,0
Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,0,2.48,51%,2.97,55%,2.36,33%,70%,0.5
Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,0,1.17,12%,4.31,41%,0.8,50%,0%,0
Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,0,0,0%,0,0%,0,0%,0%,0
Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,0,1.42,33%,2.27,59%,1.69,27%,27%,1.3
