First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Tom,Aaron,,--,155 lbs.,--,,5,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,LightWeight,1
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,0,3.29,38%,4.41,57%,0.00,0%,77%,0.0,10,LightWeight,2
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,0,3.00,20%,5.67,46%,0.00,0%,66%,0.0,32,LightWeight,3
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,0,1.35,30%,3.55,38%,1.07,33%,66%,0.0,25,HeavyWeight,4
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,0,3.87,52%,3.13,59%,3.00,75%,0%,0.0,5,HeavyWeight,5
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,0,2.41,44%,3.02,55%,1.01,23%,45%,0.1,28,HeavyWeight,6
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,0,1.71,36%,3.11,63%,0.00,0%,33%,0.0,26,FeatherWeight,7
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,0,3.80,33%,4.49,56%,0.33,50%,0%,0.0,8,WelterWeight,8
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,0,2.80,55%,3.15,48%,3.47,57%,50%,1.3,14,MiddleWeight,9
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,0,3.79,31%,3.98,68%,2.13,42%,100%,0.7,6,MiddleWeight,10
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,0,2.05,40%,2.90,55%,0.64,20%,80%,0.0,19,LightHeavyWeight,11
Cyborg,Abreu,,--,--,--,,0,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,HeavyWeight,12
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,0,3.52,36%,2.85,62%,0.33,20%,81%,0.0,48,MiddleWeight,13
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,0,3.90,52%,6.28,44%,0.00,0%,0%,0.0,8,WelterWeight,14
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,HeavyWeight,15
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,0,7.09,55%,4.06,34%,0.91,66%,57%,0.0,8,HeavyWeight,16
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,0,3.17,41%,5.93,44%,0.00,0%,0%,0.0,10,MiddleWeight,17
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,0,3.65,40%,3.04,64%,0.00,0%,100%,0.5,8,FlyWeight,18
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,3,0,0,3.93,48%,3.11,56%,0.05,14%,77%,0.1,27,MiddleWeight,19
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,29,HeavyWeight,20
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,0,0.69,11%,4.56,42%,0.00,0%,0%,0.0,30,LightWeight,21
Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0,0,4.67,55%,3.82,52%,0.59,66%,47%,0.9,14,FlyWeight,22
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,WelterWeight,23
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,18,MiddleWeight,24
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,45,MiddleWeight,25
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,0,4.93,50%,7.19,53%,0.94,25%,50%,0.2,28,StrawWeight,26
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,0,3.96,40%,4.81,52%,0.16,16%,78%,0.0,22,LightWeight,27
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,9,2,0,0,1.69,49%,1.03,63%,2.72,37%,0%,1.8,11,FlyWeight,28
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,0,2.54,37%,4.04,48%,0.00,0%,60%,0.0,22,WelterWeight,29
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0,0,0.73,33%,2.89,45%,1.16,20%,33%,0.6,9,BantamWeight,30
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,0,2.87,33%,6.33,59%,0.00,0%,71%,0.0,21,LightWeight,31
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,0,5.00,40%,11.25,25%,0.00,0%,0%,0.0,8,BantamWeight,32
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,0,0.59,45%,2.58,55%,0.00,0%,8%,0.5,28,BantamWeight,33
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,0,2.97,34%,2.84,55%,2.58,45%,65%,0.2,28,MiddleWeight,34
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,0,3.10,41%,3.62,57%,2.29,67%,92%,1.0,20,WelterWeight,35
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,0,1.80,25%,3.97,57%,1.00,40%,87%,0.0,8,WelterWeight,36
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,0,3.27,39%,3.14,60%,0.65,14%,57%,0.0,18,LightHeavyWeight,37
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,3,0,0,4.60,28%,3.60,61%,1.00,16%,0%,0.0,18,LightWeight,38
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,0,1.36,19%,3.61,53%,0.00,0%,0%,0.0,12,HeavyWeight,39
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,0,3.84,65%,6.66,23%,2.06,50%,42%,0.0,6,LightHeavyWeight,40
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,4,BantamWeight,41
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,16,9,2,0,2.88,33%,5.03,58%,1.82,40%,72%,0.0,27,BantamWeight,42
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,1,0,0,2.80,39%,3.07,63%,1.71,33%,40%,0.7,18,FlyWeight,43
Brett,Albee,,--,225 lbs.,--,,3,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,HeavyWeight,44
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,0,3.05,49%,2.82,35%,0.00,0%,50%,6.1,11,BantamWeight,45
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,0,3.98,51%,6.08,52%,1.54,37%,100%,0.0,20,HeavyWeight,46
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,LightHeavyWeight,47
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,0,4.83,47%,5.56,38%,2.27,50%,77%,0.4,5,StrawWeight,48
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,0,0.32,13%,3.34,25%,0.00,0%,0%,0.0,3,MiddleWeight,49
Juan,Alcain,,--,--,--,,1,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,HeavyWeight,50
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,0,2.72,45%,2.79,49%,1.44,62%,60%,0.8,45,BantamWeight,51
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,0,1.93,38%,2.63,50%,2.00,68%,81%,0.9,32,MiddleWeight,52
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,FeatherWeight,53
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,0,2.91,54%,6.26,26%,2.57,40%,33%,0.0,8,HeavyWeight,54
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,7,0,0,5.24,40%,6.33,57%,0.16,50%,76%,0.2,22,BantamWeight,55
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,0,3.59,38%,5.08,59%,0.93,100%,0%,0.0,7,WelterWeight,56
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,0,3.13,44%,3.13,58%,0.00,0%,57%,0.0,21,BantamWeight,57
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,31,8,0,0,3.57,46%,3.74,60%,0.49,54%,91%,0.1,39,BantamWeight,58
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,13,6,0,0,4.05,46%,4.53,60%,0.71,25%,66%,0.0,19,FlyWeight,59
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,2,0,0,3.84,43%,3.55,48%,0.87,20%,100%,0.9,7,BantamWeight,60
Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,5,0,1,0,2.37,28%,4.80,48%,2.50,15%,50%,0.0,6,StrawWeight,61
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,0,2.90,40%,4.38,56%,2.26,41%,80%,0.3,16,FeatherWeight,62
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,0,2.10,39%,2.91,54%,1.85,38%,70%,1.2,52,LightWeight,63
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,0,3.06,54%,3.20,52%,1.19,57%,33%,0.0,33,LightHeavyWeight,64
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,0,0.88,19%,2.20,66%,4.71,26%,0%,0.0,13,LightWeight,65
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,4,0,0,5.23,55%,1.83,71%,0.00,0%,57%,0.0,12,FeatherWeight,66
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,0,1.61,45%,2.89,42%,0.35,20%,66%,0.7,21,MiddleWeight,67
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,0,1.65,38%,4.77,53%,0.37,7%,22%,0.7,20,WelterWeight,68
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,16,FeatherWeight,69
Levi,Alford,,--,--,--,,1,7,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,HeavyWeight,70
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,7,0,0,6.11,52%,4.41,47%,0.89,46%,56%,0.1,25,FeatherWeight,71
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,LightHeavyWeight,72
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,HeavyWeight,73
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,0,1.41,45%,2.20,56%,1.76,38%,100%,0.0,18,WelterWeight,74
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,0,2.50,51%,0.46,59%,3.06,44%,0%,0.0,9,LightWeight,75
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,15,1,0,0,8.24,65%,7.15,36%,2.33,33%,0%,2.3,16,MiddleWeight,76
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,0,6.32,50%,10.11,38%,0.00,0%,0%,0.0,12,MiddleWeight,77
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,0,3.56,42%,5.74,52%,1.40,71%,50%,0.8,20,LightHeavyWeight,78
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,0,0.80,38%,3.10,43%,0.00,0%,50%,0.0,34,LightHeavyWeight,79
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,3,0,0,3.39,40%,2.91,61%,1.02,50%,75%,0.4,22,FeatherWeight,80
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,23,5,0,0,3.87,54%,3.60,46%,1.36,47%,58%,1.7,28,MiddleWeight,81
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,0,7.60,51%,5.87,53%,2.00,66%,100%,0.0,5,LightWeight,82
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,0,1.28,49%,1.90,59%,0.62,50%,26%,0.0,26,WelterWeight,83
Assu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,18,2,0,0,3.18,65%,0.49,77%,3.67,40%,0%,3.7,20,FlyWeight,84
Bekzat,Almakhan,,--,135 lbs.,--,,17,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,18,BantamWeight,85
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,0,2.02,49%,1.20,61%,3.74,38%,31%,1.2,18,WelterWeight,86
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,0,1.67,36%,2.60,41%,0.00,0%,40%,5.0,13,LightWeight,87
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,0,4.84,43%,4.93,61%,0.17,14%,75%,0.0,27,FeatherWeight,88
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,0,1.07,39%,3.33,43%,0.50,33%,37%,0.0,10,StrawWeight,89
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,0,3.13,37%,6.07,42%,0.00,0%,0%,0.0,10,FlyWeight,90
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,20,2,0,0,2.78,64%,0.52,43%,5.14,55%,75%,2.4,22,LightHeavyWeight,91
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,14,3,0,0,5.05,47%,5.32,45%,0.00,0%,40%,0.0,17,FeatherWeight,92
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,4,0,0,0,4.73,61%,1.87,48%,0.00,0%,70%,0.0,4,MiddleWeight,93
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,0,5.74,34%,1.91,67%,0.00,0%,0%,0.0,20,WelterWeight,94
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,0,2.36,44%,6.06,38%,1.61,26%,20%,0.4,15,BantamWeight,95
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,0,2.43,42%,1.97,56%,3.50,29%,60%,1.0,13,BantamWeight,96
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,WelterWeight,97
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,3,0,0,5.00,57%,3.99,53%,2.12,25%,63%,0.0,15,FlyWeight,98
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,0,1.56,20%,2.08,75%,0.00,0%,0%,0.0,5,MiddleWeight,99
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,0,5.83,31%,9.25,44%,0.00,0%,0%,0.0,12,StrawWeight,100
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,0,0.89,37%,3.25,47%,0.00,0%,0%,0.0,7,HeavyWeight,101
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,0,4.32,41%,4.39,55%,2.92,36%,92%,0.5,35,LightWeight,102
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,0,2.73,40%,4.53,56%,1.00,33%,50%,0.0,7,FlyWeight,103
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,20,3,0,0,3.65,46%,3.37,50%,0.00,0%,11%,1.3,23,LightWeight,104
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,0,3.73,41%,3.42,62%,0.71,60%,63%,0.3,38,WelterWeight,105
Anthony,Alves,,--,--,--,,1,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,HeavyWeight,106
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,0,0.50,46%,2.02,30%,0.00,0%,53%,0.0,27,WelterWeight,107
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,7,0,0,3.25,48%,4.21,50%,1.35,50%,80%,0.9,22,MiddleWeight,108
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,0,1.85,48%,3.30,58%,0.29,25%,44%,1.5,32,LightWeight,109
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,0,3.28,44%,3.63,52%,0.06,14%,82%,0.1,52,MiddleWeight,110
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,0,2.27,24%,5.91,63%,0.00,0%,20%,0.0,11,LightWeight,111
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,0,3.29,47%,0.82,78%,5.84,56%,100%,0.0,17,WelterWeight,112
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,0,5.53,35%,24.47,33%,0.00,0%,100%,0.0,10,StrawWeight,113
Rayanne,Amanda,,"5' 2""",115 lbs.,"62.0""",Orthodox,14,7,0,0,3.73,36%,4.63,65%,0.50,20%,88%,0.0,21,StrawWeight,114
Chris,Amarante,,--,185 lbs.,--,,2,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,MiddleWeight,115
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,0,0.83,29%,3.76,40%,3.13,57%,100%,0.8,39,HeavyWeight,116
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,0,3.16,69%,6.32,33%,0.00,0%,50%,0.0,35,WelterWeight,117
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,0,0.99,30%,3.85,46%,0.00,0%,0%,0.0,12,MiddleWeight,118
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,9,0,0,0,4.73,54%,2.16,61%,0.68,33%,78%,2.0,9,FeatherWeight,119
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,0,1.33,44%,2.98,46%,3.96,43%,35%,1.1,26,FeatherWeight,120
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,7,1,0,0,3.42,52%,1.81,62%,1.57,23%,0%,3.7,8,StrawWeight,121
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,0,6.75,39%,2.01,83%,0.00,0%,0%,0.0,2,LightHeavyWeight,122
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,0,1.47,34%,2.67,54%,0.00,0%,25%,1.0,36,MiddleWeight,123
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,15,8,0,0,3.56,47%,4.39,50%,1.54,24%,79%,0.1,23,MiddleWeight,124
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,23,HeavyWeight,125
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,126
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,WelterWeight,127
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,0,4.43,46%,2.22,59%,4.89,50%,83%,0.0,19,LightHeavyWeight,128
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,0,3.97,37%,3.08,61%,0.34,14%,60%,0.0,17,LightWeight,129
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,0,1.76,46%,3.35,37%,0.52,25%,53%,0.5,16,FeatherWeight,130
Tatsuya,Ando,,--,135 lbs.,--,,13,3,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,17,BantamWeight,131
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,0,0.20,36%,2.60,53%,0.00,0%,25%,0.8,15,LightHeavyWeight,132
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,25,12,0,0,6.67,50%,5.36,54%,2.45,54%,72%,0.4,37,StrawWeight,133
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,0,3.26,42%,2.77,63%,1.93,50%,66%,0.3,25,WelterWeight,134
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,18,LightHeavyWeight,135
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,0,3.27,31%,3.00,65%,0.00,0%,0%,0.0,13,FlyWeight,136
Fellipe,Andrew,,--,--,--,,0,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,HeavyWeight,137
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,0,2.21,50%,2.72,46%,2.83,50%,57%,0.4,25,MiddleWeight,138
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,0,2.87,50%,3.50,58%,0.67,20%,40%,0.0,10,LightHeavyWeight,139
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,0,3.56,38%,3.77,53%,0.00,0%,33%,0.0,16,FeatherWeight,140
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,0,4.62,78%,1.86,50%,4.47,50%,60%,1.1,6,LightHeavyWeight,141
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,0,4.59,48%,5.54,51%,2.28,66%,100%,0.0,11,FeatherWeight,142
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,12,7,0,0,3.07,42%,3.55,51%,1.03,36%,47%,0.8,19,BantamWeight,143
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,0,0.00,0%,3.13,25%,0.00,0%,0%,0.0,6,LightHeavyWeight,144
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,19,1,1,0,3.64,53%,2.25,59%,1.02,31%,86%,0.0,21,LightHeavyWeight,145
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,0,2.08,55%,4.21,40%,5.08,36%,0%,1.4,28,LightHeavyWeight,146
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,0,5.73,52%,5.00,69%,0.00,0%,100%,0.0,15,FlyWeight,147
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,0,1.09,50%,7.64,50%,0.00,0%,0%,0.0,5,LightHeavyWeight,148
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,0,2.47,42%,2.47,69%,0.65,100%,0%,0.0,19,HeavyWeight,149
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,0,3.23,58%,3.75,45%,1.83,16%,75%,0.0,13,WelterWeight,150
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,0,0.97,58%,1.25,58%,2.54,41%,60%,4.0,46,LightWeight,151
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,10,0,0,5.31,50%,6.03,47%,1.45,46%,58%,0.0,35,BantamWeight,152
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,0,1.35,40%,11.50,32%,0.00,0%,33%,0.0,22,HeavyWeight,153
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,0,0.00,0%,0.54,81%,0.00,0%,0%,8.1,13,WelterWeight,154
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,0,8.79,27%,10.29,39%,0.00,0%,0%,0.0,35,FeatherWeight,155
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,0,1.80,35%,2.83,50%,2.50,62%,83%,0.0,8,WelterWeight,156
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,0,2.37,45%,2.66,64%,0.93,47%,41%,0.7,29,BantamWeight,157
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,0,1.52,42%,2.86,49%,0.86,15%,22%,0.6,34,WelterWeight,158
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,12,6,0,0,4.11,47%,4.96,56%,1.76,40%,78%,0.6,18,FlyWeight,159
Julio,Arce,,"5' 7""",135 lbs.,"70.0""",Southpaw,18,6,0,0,4.38,36%,3.10,68%,0.49,30%,95%,0.4,24,BantamWeight,160
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,0,1.53,46%,2.73,51%,0.00,0%,50%,1.0,22,FeatherWeight,161
Tristan,Arenal,,--,155 lbs.,--,,7,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,LightWeight,162
Gabriel,Arges,,--,170 lbs.,--,,0,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,WelterWeight,163
Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,1,0,0,2.35,47%,1.90,52%,2.54,50%,60%,1.9,10,BantamWeight,164
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,LightWeight,165
