First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Daniel,Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0,0,2.42,49%,1.60,53%,0.00,0%,28%,2.5,21,LightHeavyWeight,3547
Pete,Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0,0,1.63,48%,1.33,55%,0.30,100%,46%,0.3,48,WelterWeight,3548
Austin,Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0,0,3.54,57%,3.15,41%,3.37,40%,100%,0.8,16,FeatherWeight,3549
Georges,St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0,0,3.78,53%,1.40,72%,4.16,74%,83%,1.1,28,MiddleWeight,3550
Bobby,Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0,0,1.00,20%,2.89,34%,7.48,45%,100%,0.0,11,LightWeight,3551
Andreas,Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0,0,2.83,37%,4.74,57%,1.55,66%,80%,0.0,14,WelterWeight,3552
Ron,Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0,0,3.22,60%,3.26,51%,0.00,0%,71%,0.0,22,WelterWeight,3553
Cody,Stamann,The Spartan,"5' 6""",135 lbs.,"64.0""",Orthodox,21,6,1,0,4.39,47%,3.63,62%,2.34,39%,76%,0.0,28,BantamWeight,3554
Cristina,Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0,0,2.50,50%,3.07,52%,0.85,100%,40%,1.7,7,StrawWeight,3555
Brian,Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0,0,3.28,42%,2.65,59%,0.12,12%,60%,0.3,18,LightHeavyWeight,3556
Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0,0,3.22,54%,3.54,54%,0.00,0%,87%,1.0,12,LightHeavyWeight,3557
Dion,Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0,0,1.09,37%,5.00,47%,0.00,0%,33%,0.0,49,HeavyWeight,3558
Lucas,Stark,,--,155 lbs.,--,,1,5,0,0,1.60,25%,3.20,66%,12.00,100%,0%,0.0,6,LightWeight,3559
Clifford,Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0,0,1.94,33%,2.49,58%,1.94,100%,60%,0.0,16,MiddleWeight,3560
Kalib,Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1,0,2.71,48%,4.43,53%,1.46,33%,25%,0.6,29,MiddleWeight,3561
Laureano,Staropoli,Pepi,"6' 1""",185 lbs.,"71.0""",Orthodox,9,5,0,0,3.31,34%,3.73,54%,0.83,26%,48%,0.0,14,MiddleWeight,3562
Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0,0,1.86,36%,3.10,52%,2.64,35%,43%,0.6,16,BantamWeight,3563
Adam,Steele,,--,170 lbs.,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,WelterWeight,3564
Dominique,Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0,0,2.32,49%,2.42,50%,2.95,42%,76%,0.0,23,WelterWeight,3565
Ricky,Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0,0,4.07,70%,2.93,50%,0.00,0%,91%,0.0,6,BantamWeight,3566
Eric,Steenberg,,--,155 lbs.,--,,5,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,LightWeight,3567
