Team,Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP,Champs
⁠⁠,Aiming,8,5,3,62.5%,6.75,1.5,5,7.83,386.5,10.8,18.2,508,24.2k,675.1,88.7%,50.9%,27.6%,5,
⁠⁠,Bdd,8,5,3,62.5%,2.5,2.13,6.25,4.12,313.5,8.76,14.1,395,17.5k,488,66%,18.9%,21.4%,5,
⁠⁠,Cuzz,8,5,3,62.5%,1.63,2.25,7.25,3.94,190.5,5.32,11.7,326,9.4k,261.4,67%,12.3%,17.7%,5,
⁠⁠,Kiin,8,5,3,62.5%,2,3,6.13,2.71,287.75,8.04,13.7,383,17.3k,483,61.3%,15.1%,20.8%,6,
⁠⁠,Lehends,8,5,3,62.5%,0.38,2.5,8,3.35,40.38,1.13,8.2,229,4.1k,115.7,63.2%,2.8%,12.4%,3,
⁠⁠,GALA,8,5,3,62.5%,3.75,1.5,4.75,5.67,301.38,10.19,13.5,455,16.5k,558.3,71.6%,31.6%,24.5%,5,
⁠⁠,Hang,8,5,3,62.5%,0.25,2.38,8.25,3.58,32.75,1.11,7,236,3.8k,128.7,71.6%,2.1%,12.7%,5,
⁠⁠,Scout,8,5,3,62.5%,4.25,1.63,5,5.69,257.5,8.71,12.4,418,16.3k,551.5,77.9%,35.8%,22.5%,6,
⁠⁠,Tarzan,8,5,3,62.5%,2,1.88,7.75,5.2,167.63,5.67,10.2,345,8.5k,286,82.1%,16.8%,18.6%,4,
⁠⁠,Zika,8,5,3,62.5%,1.63,1.75,3.63,3,265.38,8.97,11.9,402,14.1k,477.5,44.2%,13.7%,21.7%,4,
⁠⁠,Carzzy,5,1,4,20%,4.2,2.8,3.4,2.71,311.4,9.39,14.2,429,20.7k,624.4,60.3%,33.3%,24.3%,5,
⁠⁠,Chasy,5,1,4,20%,3,3.2,4.4,2.31,244,7.36,12.6,381,14.9k,449.5,58.7%,23.8%,21.7%,4,
⁠⁠,Elyoya,5,1,4,20%,2,2.6,6.6,3.31,189.8,5.73,11.1,334,8.2k,247.3,68.3%,15.9%,19%,3,
⁠⁠,Hylissang,5,1,4,20%,0.4,5.2,7.4,1.5,31.8,0.96,7.5,226,5.2k,156.2,61.9%,3.2%,12.9%,4,
⁠⁠,Nisqy,5,1,4,20%,3,2.2,6,4.09,272.2,8.21,12.9,390,18.3k,553.5,71.4%,23.8%,22.1%,5,
⁠⁠,Contractz,5,4,1,80%,4.4,2,7.8,6.1,178.4,5.5,11.7,362,14.5k,447.3,66.3%,23.9%,19.2%,5,
⁠⁠,Dhokla,5,4,1,80%,3.8,1.8,6.6,5.78,254.2,7.84,12.9,399,17.2k,531.7,56.5%,20.7%,21.2%,5,
⁠⁠,FBI,5,4,1,80%,5.6,2,8,6.8,199.2,6.14,13.5,418,21.2k,653.1,73.9%,30.4%,22.1%,4,
⁠⁠,IgNar,5,4,1,80%,0.4,1.6,12.4,8,96.6,2.98,9,277,5.6k,171.7,69.6%,2.2%,14.7%,4,
⁠⁠,Palafox,5,4,1,80%,4.2,2.2,9.4,6.18,273.6,8.44,13.9,429,18k,554.1,73.9%,22.8%,22.8%,5,
⁠⁠,Faker,5,4,1,80%,2.8,2,5.4,4.1,271.4,9.14,12.4,417,13.8k,464.1,63.1%,21.5%,21.9%,3,
⁠⁠,Gumayusi,5,4,1,80%,4.4,1,4,8.4,264.4,8.91,13,439,15.9k,535.3,64.6%,33.8%,23%,5,
⁠⁠,Keria,5,4,1,80%,0.8,1.2,9.2,8.33,55.8,1.88,8,268,6.4k,215.7,76.9%,6.2%,14.1%,4,
⁠⁠,Oner,5,4,1,80%,2.6,1.6,8.2,6.75,172.2,5.8,10.6,356,9.2k,308.7,83.1%,20%,18.7%,2,
⁠⁠,Zeus,5,4,1,80%,2.4,1.6,3.6,3.75,275.2,9.27,12.6,426,18.1k,610.3,46.2%,18.5%,22.3%,5,
⁠⁠,Adam,4,0,4,0%,1.75,3.25,1.25,0.92,211.5,7.83,10.1,373,7.6k,280.4,50%,29.2%,22.1%,4,
⁠⁠,Crownie,4,0,4,0%,1.25,2,2.25,1.75,268,9.93,10.7,398,8.5k,316.1,58.3%,20.8%,23.6%,2,
⁠⁠,Labrov,4,0,4,0%,0.25,3.25,3.5,1.15,31.75,1.18,5.9,220,3.4k,125,62.5%,4.2%,13.1%,3,
⁠⁠,nuc,4,0,4,0%,1.75,2.75,1.25,1.09,228.25,8.46,10.1,376,12.2k,450.6,50%,29.2%,22.3%,4,
⁠⁠,Sheo,4,0,4,0%,1,3.25,4,1.54,145.25,5.38,8.6,319,4.5k,166.7,83.3%,16.7%,18.9%,3,
⁠⁠,APA,5,1,4,20%,2.8,4.6,1.8,1,254,8.12,11.8,377,14.6k,466.1,52.3%,31.8%,22%,4,
⁠⁠,CoreJJ,5,1,4,20%,0.6,3.6,3.6,1.17,40.4,1.29,7.1,227,3.5k,111.8,47.7%,6.8%,13.3%,3,
⁠⁠,Pyosik,5,1,4,20%,2.8,1.6,3.4,3.88,200.4,6.41,10.9,347,10.1k,324,70.5%,31.8%,20.3%,5,
⁠⁠,Summit,5,1,4,20%,1.2,3.2,2.6,1.19,249.8,7.98,11.4,364,10.9k,349.5,43.2%,13.6%,21.2%,3,
⁠⁠,Yeon,5,1,4,20%,1.4,2.4,2.4,1.58,290.8,9.29,12.4,396,13.1k,418.6,43.2%,15.9%,23.1%,4,
⁠⁠,Crisp,8,5,3,62.5%,1,2.88,10.13,3.87,34.38,1.1,8.1,258,5.7k,181.7,72.4%,6.5%,13.7%,3,
⁠⁠,Light,8,5,3,62.5%,6.13,1.5,5.75,7.92,295.38,9.44,14.9,477,21k,671.1,77.2%,39.8%,25.3%,6,
⁠⁠,TheShy,8,5,3,62.5%,2.88,2.88,5.25,2.83,251.38,8.04,12.4,398,20.7k,661,52.8%,18.7%,21.1%,4,
⁠⁠,Weiwei,8,5,3,62.5%,1.75,2.75,8.63,3.77,155.38,4.97,10.2,327,7.8k,248.6,67.5%,11.4%,17.3%,5,
⁠⁠,Xiaohu,8,5,3,62.5%,3.63,2.38,7.13,4.53,272.5,8.71,13.4,428,18.1k,578.1,69.9%,23.6%,22.7%,6,
Preload,TournamentByPlayerTournamentByPlayerRoleTournamentByChampionTournamentByChampionRoleChampionByPlayerChampionByTournamentPlayerByChampionByTournamentByPlayerByPlayerTeamByChampionByPlayerRoleByChampionRole,Tournament:,,,,,,,,,,,,,,,,,,
Player:,,Champion:,,,,,,,,,,,,,,,,,,
Role:,,Team:,,,,,,,,,,,,,,,,,,
Patch:,,Year:,,,,,,,,,,,,,,,,,,
Region:,,Tournament Level:,PrimarySecondaryShowmatch,,,,,,,,,,,,,,,,,
where:,Specifying a player?,,,,,,,,,,,,,,,,,,,
